Date,Open,Close,High,Low
12/04/2013,29.03,29.03,29.03,20.5
15/04/2013,29.03,29.03,29.03,20.5
16/04/2013,29.03,29.03,29.03,20.5
17/04/2013,29.03,29.1,29.1,20.5
18/04/2013,29.1,29.1,29.1,20.5
19/04/2013,29.1,29.1,29.1,20.5
22/04/2013,29.1,29.1,29.1,20.5
23/04/2013,29.1,29.1,29.1,20.5
24/04/2013,29.1,29.1,29.1,20.5
25/04/2013,29.1,29.1,29.1,20.5
26/04/2013,29.1,29.1,29.1,20.5
29/04/2013,29.1,29.23,29.23,20.5
30/04/2013,29.23,29.23,29.23,20.5
02/05/2013,29.23,29.22,29.23,20.5
03/05/2013,29.22,29.22,29.23,20.5
06/05/2013,29.22,29.22,29.23,20.5
07/05/2013,29.22,29.22,29.23,20.5
08/05/2013,29.22,29.22,29.23,20.5
09/05/2013,29.22,29.22,29.23,20.5
10/05/2013,29.22,29.22,29.23,20.5
13/05/2013,29.22,29.22,29.23,20.5
14/05/2013,29.22,29.21,29.23,20.5
15/05/2013,29.21,28.26,29.23,20.5
16/05/2013,28.26,28.02,29.23,20.5
17/05/2013,28.02,28,29.23,20.5
20/05/2013,28,27.9,29.23,20.5
21/05/2013,27.9,27.73,29.23,20.5
22/05/2013,27.73,27.3,29.23,20.5
23/05/2013,27.3,27.3,29.23,20.5
24/05/2013,27.3,27.31,29.23,20.5
28/05/2013,27.31,27.33,29.23,20.5
29/05/2013,27.33,27.33,29.23,20.5
30/05/2013,27.33,27.5,29.23,20.5
31/05/2013,27.5,27.55,29.23,20.5
03/06/2013,27.55,27.75,29.23,20.5
04/06/2013,27.75,31.26,31.26,20.5
05/06/2013,31.26,32.92,32.92,20.5
06/06/2013,32.92,32.92,32.92,20.5
07/06/2013,32.92,34.94,34.94,20.5
10/06/2013,34.94,34.94,34.94,20.5
11/06/2013,34.94,34.94,34.94,20.5
12/06/2013,34.94,38.34,38.34,20.5
13/06/2013,38.34,40.55,40.55,20.5
14/06/2013,40.55,41.5,41.5,20.5
17/06/2013,41.5,41.5,41.5,20.5
18/06/2013,41.5,42,42,20.5
19/06/2013,42,41.99,42,20.5
