Date,Open,Close,High,Low,
05/10/2018,17.81,17.8,17.81,12.84,
08/10/2018,17.8,17.8,17.81,12.84,
09/10/2018,17.8,17.79,17.81,12.84,
10/10/2018,17.79,17.79,17.81,12.84,
11/10/2018,17.79,17.79,17.81,12.84,
12/10/2018,17.79,17.79,17.81,12.84,
15/10/2018,17.79,17.79,17.81,12.84,
16/10/2018,17.79,17.79,17.81,12.84,
17/10/2018,17.79,17.79,17.81,12.84,
18/10/2018,17.79,17.79,17.81,12.84,
19/10/2018,17.79,17.79,17.81,12.84,
22/10/2018,17.79,17.79,17.81,12.84,
23/10/2018,17.79,17.79,17.81,12.84,
24/10/2018,17.79,17.79,17.81,12.84,
24/10/2018,17.79,17.79,17.81,12.84,
26/10/2018,17.79,17.79,17.81,12.84,
29/10/2018,17.79,17.79,17.81,12.84,
30/10/2018,17.79,17.79,17.81,12.84,
31/10/2018,17.79,17.79,17.81,12.84,
01/11/2018,17.79,17.79,17.81,12.84,
02/11/2018,17.79,17.79,17.81,12.84,
05/11/2018,17.79,17.79,17.81,12.84,
06/11/2018,17.79,17.78,17.81,12.84,
07/11/2018,17.78,17.78,17.81,12.84,
08/11/2018,17.78,17.78,17.81,12.84,
09/11/2018,17.78,17.78,17.81,12.84,
12/11/2018,17.78,17.78,17.81,12.84,
13/11/2018,17.78,17.78,17.81,12.84,
14/11/2018,17.78,17.78,17.81,12.84,
15/11/2018,17.78,17.78,17.81,12.84,
16/11/2018,17.78,17.76,17.81,12.84,
19/11/2018,17.76,17.76,17.81,12.84,
20/11/2018,17.76,17.76,17.81,12.84,
21/11/2018,17.76,17.76,17.81,12.84,
22/11/2018,17.76,17.76,17.81,12.84,
23/11/2018,17.76,17.76,17.81,12.84,
26/11/2018,17.76,17.76,17.81,12.84,
27/11/2018,17.76,17.77,17.81,12.84,
28/11/2018,17.77,17.78,17.81,12.84,
29/11/2018,17.78,17.78,17.81,12.84,
30/11/2018,17.78,17.78,17.81,12.84,
03/12/2018,17.78,17.78,17.81,12.84,
04/12/2018,17.78,17.78,17.81,12.84,
05/12/2018,17.78,17.78,17.81,12.84,
06/12/2018,17.78,17.78,17.81,12.84,
10/12/2018,17.78,17.78,17.81,12.84,
11/12/2018,17.78,17.78,17.81,12.84,
12/12/2018,17.78,17.78,17.81,12.84,
13/12/2018,17.78,17.78,17.81,12.84,
14/12/2018,17.78,17.78,17.81,12.84,
17/12/2018,17.78,17.78,17.81,12.84,
18/12/2018,17.78,17.78,17.81,12.84,
19/12/2018,17.78,17.78,17.81,12.84,
20/12/2018,17.78,17.78,17.81,12.84,
21/12/2018,17.78,17.78,17.81,12.84,
24/12/2018,17.78,17.78,17.81,12.84,
27/12/2018,17.78,17.78,17.81,12.84,
28/12/2018,17.78,17.78,17.81,12.84,
31/12/2018,17.78,17.78,17.81,12.84,
02/01/2019,17.78,17.78,17.78,17.78,
03/01/2019,17.78,17.78,17.78,17.78,
04/01/2019,17.78,17.78,17.78,17.78,
08/01/2019,17.78,17.78,17.78,17.78,
09/01/2019,17.78,17.78,17.78,17.78,
10/01/2019,17.78,17.78,17.78,17.78,
11/01/2019,17.78,17.78,17.78,17.78,
14/01/2019,17.78,17.78,17.78,17.78,
15/01/2019,17.78,17.78,17.78,17.78,
16/01/2019,17.78,17.78,17.78,17.78,
17/01/2019,17.78,17.78,17.78,17.78,
18/01/2019,17.78,17.78,17.78,17.78,
21/01/2019,17.78,17.78,17.78,17.78,
22/01/2019,17.78,17.78,17.78,17.78,
23/01/2019,17.78,17.78,17.78,17.78,
24/01/2019,17.78,17.78,17.78,17.78,
25/01/2019,17.78,17.77,17.78,17.77,
28/01/2019,17.77,17.77,17.78,17.77,
29/01/2019,17.77,17.77,17.78,17.77,
30/01/2019,17.77,17.7,17.78,17.7,
31/01/2019,17.7,17.7,17.78,17.7,
01/02/2019,17.7,17.7,17.78,17.7,
04/02/2019,17.7,17.7,17.78,17.7,
05/02/2019,17.7,17.7,17.78,17.7,
06/02/2019,17.7,17.7,17.78,17.7,
07/02/2019,17.7,17.7,17.78,17.7,
08/02/2019,17.7,17.7,17.78,17.7,
11/02/2019,17.7,17.7,17.78,17.7,
12/02/2019,17.7,17.7,17.78,17.7,
13/02/2019,17.7,17.7,17.78,17.7,
14/02/2019,17.7,17.7,17.78,17.7,
15/02/2019,17.7,17.7,17.78,17.7,
18/02/2019,17.7,17.69,17.78,17.69,
19/02/2019,17.69,17.69,17.78,17.69,
20/02/2019,17.69,17.69,17.78,17.69,
21/02/2019,17.69,17.69,17.78,17.69,
22/02/2019,17.69,17.69,17.78,17.69,
25/02/2019,17.69,17.69,17.78,17.69,
26/02/2019,17.69,17.69,17.78,17.69,
27/02/2019,17.69,17.69,17.78,17.69,
28/02/2019,17.69,17.69,17.78,17.69,
01/03/2019,17.69,17.69,17.78,17.69,
04/03/2019,17.69,17.69,17.78,17.69,
05/03/2019,17.69,17.69,17.78,17.69,
